18:10:25.359 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
18:10:25.432 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
18:10:25.482 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
18:10:25.482 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
18:10:25.483 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_000070E8 (PID-specific).
18:10:25.483 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_000070E8 (PID-specific) has no value.
18:10:25.483 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
18:10:25.609 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=146ms
18:10:25.609 |V| JetEnvironment                | :1                 | HostInit phase completed.
18:10:25.609 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
18:10:25.656 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir C:\Users\bharg\OneDrive\Documents\GitHub\jam3\Library\RiderFlow\2023.1.0.21\Backend~\bin.
18:10:25.695 |V| DeployedPackages              | :1                 | Scanning folder C:\Users\bharg\OneDrive\Documents\GitHub\jam3\Library\RiderFlow\2023.1.0.21\Backend~\bin for Deployed Packages. Picking nugets? True!
